assigned gene	MIPS Description	p-value	p-value	p-value
YNL158W	hypothetical protein	2.50E-01	8.30E-01	4.00E-01
YNL159C	hypothetical protein	2.50E-01	8.30E-01	4.00E-01
YNL160W	secreted glycoprotein	3.60E-01	6.60E-01	5.40E-02
YNL161W	strong similarity to U.maydis Ukc1p protein kinase	7.00E-01	4.80E-01	9.40E-01
YNL162W	ribosomal protein L36a.e	7.50E-01	5.20E-01	5.10E-01
YNL163C	translation elongation factor eEF4	7.50E-01	5.20E-01	5.10E-01
YNL164C	hypothetical protein	1.00E+00	1.00E+00	1.00E+00
YNL165W	similarity to YOR385w and YMR316w	7.00E-01	9.00E-01	3.60E-01
YNL166C	similarity to S. pombe SPBC1711.05 serine-rich repeat protein of unknown function	7.00E-01	9.00E-01	3.60E-01
YNL167C	cre-binding bzip protein	5.10E-01	8.00E-01	2.30E-01
YNL168C	similarity to C.elegans ZK688.3 protein and E.coli hpcEp	5.40E-01	8.30E-01	2.50E-01
YNL169C	phosphatidylserine decarboxylase 1	4.10E-01	6.30E-01	2.60E-01
YNL170W	questionable ORF	1.50E-01	3.00E-01	3.70E-01
YNL171C	questionable ORF	4.10E-01	6.30E-01	2.60E-01
YNL172W	subunit of anaphase-promoting complex (cyclosome)	1.50E-01	3.00E-01	3.70E-01
YNL173C	GTP-binding protein of the pheromone-response pathway	1.50E-01	3.00E-01	3.70E-01
YNL174W	hypothetical protein	7.60E-01	9.00E-01	7.70E-01
YNL175C	"similarity to S.pombe Rnp24p, NSR1P and human splicing factor"	6.00E-01	7.80E-01	8.10E-01
YNL176C	weak similarity to HKR1P	7.60E-01	9.00E-01	7.70E-01
YNL177C	similarity to hypothetical protein S. pombe	6.30E-02	1.50E-01	1.80E-01
YNL178W	ribosomal protein S3.e	1.60E-01	4.10E-04	2.10E-01
YNL179C	hypothetical protein	5.50E-01	2.10E-02	6.50E-01
YNL180C	similarity to S.pombe CDC42P and other GTP-binding proteins	5.50E-01	2.10E-02	6.50E-01
YNL181W	similarity to hypothetical S. pombe protein	7.10E-01	3.10E-01	5.50E-01
YNL182C	weak similarity to S.pombe hypothetical protein	7.10E-01	3.10E-01	5.50E-01
YNL183C	ser/thr protein kinase	2.30E-01	7.80E-01	6.10E-01
YNL184C	questionable ORF	9.10E-01	2.90E-01	8.30E-01
YNL185C	"ribosomal protein of the large subunit, mitochondrial"	9.10E-01	2.90E-01	8.30E-01
YNL186W	derepression of telomeric silencing	1.90E-01	7.30E-02	5.00E-01
YNL187W	hypothetical protein	1.90E-01	6.50E-01	3.90E-01
YNL188W	cell division control protein	9.60E-01	3.50E-01	4.10E-01
YNL189W	karyopherin-alpha or importin	4.30E-01	7.70E-01	4.70E-01
YNL190W	weak similarity to MUCIN 1 PRECURSOR Mesocricetus auratus (Golden hamster)	5.70E-01	1.70E-01	3.80E-02
YNL191W	similarity to Synechocystis hypothetical protein	9.00E-02	4.10E-01	1.20E-01
YNL192W	chitin synthase I	8.60E-02	6.50E-03	5.10E-10
YNL193W	weak similarity to hypothetical protein S. pombe	6.80E-02	7.10E-01	4.10E-01
YNL194C	strong similarity to YDL222c and similarity to SUR7P	6.80E-02	7.10E-01	4.10E-01
YNL195C	hypothetical protein	2.60E-01	7.80E-01	5.10E-01
YNL196C	sporulation-specific protein	9.50E-02	2.30E-01	2.80E-01
YNL197C	involved in regulation of cell size	7.10E-01	7.80E-01	7.10E-01
YNL198C	questionable ORF	1.50E-01	3.70E-01	4.60E-01
YNL199C	glycolytic genes transcriptional activator	1.50E-01	3.70E-01	4.60E-01
YNL200C	strong similarity to human TGR-CL10C	8.80E-01	6.40E-01	7.80E-01
YNL201C	weak similarity to pleiotropic drug resistance control protein PDR6	2.90E-01	6.20E-01	4.10E-01
YNL202W	"peroxisomal 2,4-dienoyl-CoA reductase"	2.10E-01	1.80E-01	1.00E+00
YNL203C	weak similarity to B.subtilis CDP-diacylglycerol--serine O-phosphatidyltransferase	6.20E-01	1.00E+00	6.60E-01
YNL204C	sporulation-specific zinc-finger protein	2.10E-01	1.80E-01	1.00E+00
YNL205C	questionable ORF	2.10E-01	1.80E-01	1.00E+00
YNL206C	similarity to structure-specific recognition proteins	2.10E-01	1.80E-01	1.00E+00
YNL207W	similarity to M.jannaschii hypothetical protein MJ1073	2.20E-01	3.30E-01	5.10E-01
YNL208W	weak similarity to Colletotrichum gloeosporioides nitrogen starvation-induced glutamine rich protein	4.50E-01	7.00E-01	5.40E-01
YNL209W	"heat shock protein of HSP70 family, cytosolic"	5.70E-01	7.00E-01	7.70E-01
YNL210W	meiotic recombination protein	3.40E-01	8.00E-01	8.20E-01
YNL211C	hypothetical protein	3.40E-01	8.00E-01	8.20E-01
YNL212W	weak similarity to C.cardunculus cypro4 protein	4.20E-02	9.90E-01	6.90E-01
YNL213C	similarity to hypothetical protein Neurospora crassa	4.20E-02	9.90E-01	6.90E-01
YNL214W	component of the peroxisomal protein translocation - peroxin	7.30E-01	1.00E+00	6.20E-01
YNL215W	similarity to hypothetical S. pombe protein	4.70E-01	5.60E-01	5.40E-01
YNL216W	DNA-binding protein with repressor and activator activity	8.10E-01	6.10E-01	6.30E-01
YNL217W	weak similarity to E.coli bis(5'-nucleosyl)-tetraphosphatase	9.50E-02	4.90E-01	7.00E-01
YNL218W	similarity to E.coli hypothetical protein in serS 5'region	3.70E-01	6.50E-01	2.90E-01
YNL219C	mannosyltransferase	3.70E-01	6.50E-01	2.90E-01
YNL220W	adenylosuccinate synthetase	6.70E-02	3.70E-01	1.40E-01
YNL221C	protein component of ribonuclease P and ribonuclease MRP	6.70E-02	3.70E-01	1.40E-01
YNL222W	suppressor of cs mutant of SUA7	1.00E+00	6.00E-01	5.20E-01
YNL223W	essential for autophagy	1.50E-01	5.70E-01	5.10E-01
YNL224C	similarity to hypothetical protein S. pombe	1.50E-01	5.70E-01	5.10E-01
YNL225C	involved in cytokinesis	9.30E-01	3.90E-01	3.00E-01
YNL226W	questionable ORF	6.70E-01	3.40E-03	4.60E-01
YNL227C	similarity to dnaJ-like proteins	5.20E-01	6.00E-01	4.80E-01
YNL228W	questionable ORF	6.70E-01	3.40E-03	4.60E-01
YNL229C	nitrogen catabolite repression regulator	6.70E-01	3.40E-03	4.60E-01
YNL230C	weak similarity to mammalian transcription elongation factor elongin A	9.10E-01	5.80E-01	6.00E-01
YNL231C	protein involved in lipid biosynthesis and multidrug resistance	4.90E-01	4.10E-07	6.00E-01
YNL232W	core component of the 3'-5' exosome	8.10E-01	4.60E-01	5.30E-01
YNL233W	bud neck involved	3.60E-01	6.00E-01	4.50E-01
YNL234W	weak similarity to mouse hemoglobin zeta chain	5.30E-01	2.90E-01	6.70E-01
YNL235C	questionable ORF	5.30E-01	2.90E-01	6.70E-01
YNL236W	global regulator protein	4.90E-01	6.60E-01	1.90E-01
YNL237W	weak similarity to mitochondrial electron transport proteins	8.20E-01	4.10E-01	5.30E-01
YNL238W	endoproteinase of late golgi compartment	3.40E-02	1.40E-01	2.70E-05
YNL239W	member of the GAL regulon	5.50E-01	6.90E-01	4.70E-01
YNL240C	similarity to human nuclear prelamin A recognition factor	5.50E-01	6.90E-01	4.70E-01
YNL241C	glucose-6-phosphate dehydrogenase	7.20E-06	3.50E-02	1.60E-10
YNL242W	required for sporulation	3.70E-02	1.80E-01	5.40E-02
YNL243W	cytoskeleton assembly control protein	3.60E-01	3.10E-01	4.70E-01
YNL244C	translation initiation factor 3 (eIF3)	3.60E-01	3.10E-01	4.70E-01
YNL245C	similarity to hypothetical protein CG2843 D. melanogaster	1.10E-01	5.70E-01	4.40E-01
YNL246W	similarity to D.melanogaster SET protein	4.70E-01	4.90E-01	7.20E-01
YNL247W	cysteinyl-tRNA synthetase	2.00E-01	5.10E-01	4.60E-01
YNL248C	"DNA-directed RNA polymerase A (I) chain, 46 kDa"	2.00E-01	5.10E-01	4.60E-01
YNL249C	similarity to YDR109c	8.00E-01	4.50E-01	5.30E-01
YNL250W	DNA repair protein	3.10E-01	7.30E-01	3.50E-01
YNL251C	involved in regulation of nuclear pre-mRNA abundance	3.10E-01	7.30E-01	3.50E-01
YNL252C	"ribosomal protein of the large subunit (YmL30), mitochondrial"	7.90E-01	7.00E-01	8.90E-01
YNL253W	similarity to hypothetical protein C. elegans	4.60E-01	6.70E-01	8.00E-01
YNL254C	hypothetical protein	4.60E-01	6.70E-01	8.00E-01
YNL255C	"strong similarity to nucleic acid-binding proteins, similarity to Tetrahymena thermophila cnjB protein"	1.30E-01	6.60E-01	1.80E-01
YNL256W	"Dihydroneopterin aldolase, dihydro-6-hydroxymethylpterin pyrophosphokinase, dihydropteroate synthetase"	1.10E-01	2.30E-01	1.00E+00
YNL257C	SNF1P protein kinase interacting protein	1.10E-01	2.30E-01	1.00E+00
YNL258C	hypothetical protein	3.50E-01	4.50E-01	9.10E-01
YNL259C	antioxidant protein and metal homeostasis factor	7.30E-03	5.90E-01	1.80E-01
YNL260C	weak similarity to hypothetical protein S. pombe	3.90E-01	5.30E-01	1.00E+00
YNL261W	"origin recognition complex, 50 kDa subunit"	1.00E+00	1.00E+00	4.60E-01
YNL262W	"DNA-directed DNA polymerase epsilon, catalytic subunit A"	7.70E-02	1.00E+00	5.90E-01
YNL263C	SLH1P Interacting Factor	7.70E-02	1.00E+00	5.90E-01
YNL264C	involved in regulating phosphatidylserine metabolism	4.90E-01	6.20E-01	8.20E-01
YNL265C	"similarity to NUF1P, has a role in resistance to high concentrations of sodium"	3.60E-01	3.80E-01	4.80E-01
YNL266W	questionable ORF	3.50E-01	1.00E+00	6.00E-01
YNL267W	phosphatidylinositol 4-kinase	2.50E-02	2.80E-01	1.00E-02
YNL268W	lysine-specific high-affinity permease	1.30E-01	1.10E-01	9.10E-01
YNL269W	hypothetical protein	5.20E-02	9.80E-02	4.30E-05
YNL270C	high-affinity permease for basic amino acids	1.30E-01	1.10E-01	9.10E-01
YNL271C	regulator of budding	5.20E-02	9.80E-02	4.30E-05
YNL272C	protein transport protein	2.00E-01	4.80E-01	5.60E-01
YNL273W	topoisomerase I interacting factor 1	3.90E-01	8.70E-01	3.60E-01
YNL274C	similarity to glycerate- and formate-dehydrogenases	3.90E-01	8.70E-01	3.60E-01
YNL275W	similarity to human band 3 anion transport protein	7.80E-01	6.10E-01	8.40E-01
YNL276C	questionable ORF	7.80E-01	6.10E-01	8.40E-01
YNL277W	homoserine O-acetyltransferase	8.70E-01	5.40E-01	6.70E-01
YNL278W	similarity to YLR187w	6.70E-01	1.00E+00	1.00E+00
YNL279W	similarity to S. pombe coiled-coil protein of unknown function	9.20E-01	3.40E-01	7.60E-01
YNL280C	C-14 sterol reductase	9.20E-01	3.40E-01	7.60E-01
YNL281W	strong similarity to YDR214w	8.10E-01	4.50E-01	1.00E+00
YNL282W	involved in processsing of tRNAs and rRNAs	7.10E-01	1.00E+00	8.20E-01
YNL283C	"glucoamylase III (alpha-1,4-glucan-glucosidase)"	7.10E-01	1.00E+00	8.20E-01
YNL284C	"ribosomal protein of the large subunit, mitochondrial"	8.10E-01	1.00E+00	7.00E-01
YNL284C-A		7.60E-01	9.20E-01	1.00E+00
YNL284C-B		2.60E-01	6.20E-01	1.40E-01
YNL285W	hypothetical protein	8.00E-01	5.20E-01	5.50E-01
YNL286W	cold sensitive U2 snRNA Suppressor	5.80E-01	2.80E-01	3.40E-01
YNL287W	coatomer complex gamma chain (gamma-COP) of secretory pathway vesicles	5.50E-01	6.20E-01	4.50E-01
YNL288W	strong similarity to C.elegans hypothetical protein	6.00E-01	2.60E-01	3.80E-01
YNL289W	"cyclin, G1/S-specific"	4.40E-01	8.90E-09	1.00E+00
YNL290W	"DNA replication factor C, 40 kDa subunit"	5.70E-01	1.60E-01	9.30E-01
YNL291C	involved in Ca2+ influx during mating	5.70E-01	1.60E-01	9.30E-01
YNL292W	pseudouridine synthase	8.80E-01	5.80E-01	6.50E-01
YNL293W	"similarity to Mic1p and human transforming protein tre-2, and strong similarity to YOL112w"	5.30E-01	4.10E-01	4.70E-01
YNL294C	similarity to TRCDSEMBL:AF152926_1 palH Emericella nidulans	5.30E-01	4.10E-01	4.70E-01
YNL295W	hypothetical protein	4.30E-01	3.20E-04	7.20E-01
YNL296W	questionable ORF	4.90E-01	2.00E-01	7.10E-01
YNL297C	similarity to S.pombe hypothetical protein SPAC23D3.13c	4.30E-01	3.20E-04	7.20E-01
YNL298W	ser/thr protein kinase	6.10E-01	1.40E-05	9.30E-01
YNL299W	nuclear division protein	7.40E-01	2.70E-02	8.40E-01
YNL300W	similarity to MID2P	9.10E-01	1.60E-06	9.80E-01
YNL301C	60S large subunit ribosomal protein L18.e	9.10E-01	1.60E-06	9.80E-01
YNL302C	40S small subunit ribosomal protein S19.e	9.90E-01	8.20E-01	4.80E-01
YNL303W	hypothetical protein	1.30E-01	7.10E-01	6.10E-01
YNL304W	similarity to YPT1P and rab GTP-binding proteins	1.30E-01	7.10E-01	6.10E-01
YNL305C	similarity to C-term. of A.nidulans regulatory protein (qutR)	1.30E-01	7.10E-01	6.10E-01
YNL306W	"ribosomal protein of the small subunit, mitochondrial"	4.30E-01	9.40E-01	2.90E-01
YNL307C	ser/thr/tyr protein kinase	4.30E-01	9.40E-01	2.90E-01
YNL308C	similarity to S.pombe and C.elegans hypothetical proteins	1.70E-01	6.70E-01	4.20E-01
YNL309W	SIN3P binding protein	6.50E-01	7.20E-01	5.90E-01
YNL310C	similarity to S.pombe hypothetical protein SPAC24H6.02c	7.90E-01	1.00E+00	5.20E-01
YNL311C	hypothetical protein	6.50E-01	7.20E-01	5.90E-01
YNL312W	"DNA replication factor A, 36 kDa subunit"	4.30E-01	3.70E-01	6.70E-01
YNL313C	similarity to C.elegans hypothetical protein	4.30E-01	3.70E-01	6.70E-01
YNL314W	transcriptional activator for allantoin catabolic genes	1.40E-01	1.00E+00	4.80E-01
YNL315C	F1F0-ATPase complex assembly protein	1.40E-01	1.00E+00	4.80E-01
YNL316C	prephenate dehydratase	4.30E-01	7.00E-01	1.00E+00
YNL317W	"polyadenylation factor I subunit 2 required for mRNA 3'-end processing, bridges two mRNA 3'-end processing factors"	6.60E-01	7.10E-01	4.80E-01
YNL318C	hexose transport protein	6.60E-01	7.10E-01	4.80E-01
YNL319W	questionable ORF	7.10E-01	1.00E+00	5.70E-01
YNL320W	strong similarity to S.pombe Bem46 protein	6.90E-01	6.90E-01	3.10E-01
YNL321W	weak similarity to VCX1P	8.60E-01	5.90E-01	7.60E-01
YNL322C	cell wall protein	8.60E-01	5.90E-01	7.60E-01
YNL323W	similarity to Ycx1p	2.10E-01	6.60E-01	2.80E-01
YNL324W	hypothetical protein	1.10E-01	4.90E-01	6.00E-03
YNL325C	weak similarity to inositol phosphatase	2.10E-01	6.60E-01	2.80E-01
YNL326C	"similarity to YOL003c, YLR246w and C.elegans hypothetical protein ZK757.1"	1.10E-01	4.90E-01	6.00E-03
YNL327W	cell-cycle regulation protein	4.60E-06	8.70E-01	1.00E-14
YNL328C	heat shock protein - chaperone	4.60E-06	8.70E-01	1.00E-14
YNL329C	peroxisomal assembly protein	6.50E-01	8.70E-01	1.00E+00
YNL330C	histone deacetylase B	9.30E-01	7.30E-01	3.30E-01
YNL331C	strong similarity aryl-alcohol reductase	8.30E-01	7.50E-01	5.50E-01
YNL332W	"nearly identical to THI5P, THI11 and YDL244w"	6.20E-01	7.50E-01	8.00E-01
YNL333W	putative pyridoxine (vitamin B6) biosynthetic enzyme	1.60E-01	5.80E-01	1.20E-01
YNL334C	strong similarity to hypothetical proteins YFL060c and YMR095c	1.60E-01	5.80E-01	1.20E-01
YNL335W	"similarity to M.verrucaria cyanamide hydratase, identical to hypothetical protein YFL061w"	2.70E-01	2.80E-01	1.30E-03
YNL336W	strong similarity to subtelomeric encoded proteins	4.90E-01	1.40E-01	1.50E-03
YNL337W	strong similarity to subtelomeric encoded proteins	9.90E-01	9.50E-01	5.00E-05
YNL338W	strong similarity to subtelomeric encoded poteins	9.60E-01	3.50E-01	1.20E-02
YNL339C	nearly identical to other subtelomerically encoded putative helicases	9.60E-01	3.50E-01	1.20E-02
YNR001C	"citrate (si)-synthase, mitochondrial"	7.50E-01	3.90E-01	9.40E-01
YNR002C	strong similarity to Y.lipolytica glyoxylate pathway regulator GPR1	4.30E-01	8.80E-01	8.80E-01
YNR003C	"DNA-directed RNA polymerase III, 34 KD subunit"	3.00E-01	5.60E-01	8.00E-01
YNR004W	weak similarity to bovine interferon gamma precursor	3.00E-01	5.60E-01	8.00E-01
YNR005C	questionable ORF	2.30E-01	3.40E-01	5.30E-01
YNR006W	vacuolar protein sorting-associated protein	5.60E-01	6.40E-01	6.40E-02
YNR007C	essential for autophagocytosis	5.60E-01	4.90E-01	4.50E-01
YNR008W	"a lecithin cholesterol acyltransferase-like gene, mediates diacylglycerol esterification"	5.60E-01	4.90E-01	4.50E-01
YNR009W	hypothetical protein	3.80E-01	9.50E-03	5.20E-01
YNR010W	subunit of RNA polymerase II mediator complex	7.90E-01	5.20E-01	5.70E-01
YNR011C	RNA-dependent ATPase of DEAH box family	7.90E-01	5.30E-01	5.20E-01
YNR012W	uridine kinase	7.90E-01	5.30E-01	5.20E-01
YNR013C	similarity to PHO87P and PHO90P	3.50E-01	2.10E-01	9.50E-01
YNR014W	weak similarity to hypothetical protein YMR206w	3.50E-01	2.10E-01	9.50E-01
YNR015W	similarity to E.histolytica nitrogen fixation regulatory protein-3 homolog	6.00E-01	3.90E-01	1.20E-01
YNR016C	acetyl-CoA carboxylase	6.50E-01	6.90E-03	9.90E-02
YNR017W	mitochondrial inner membrane import translocase subunit	2.40E-01	1.10E-02	2.50E-01
YNR018W	similarity to TRCDSEMBL:SPAC1565_1 hypothetical protein S. pombe	5.10E-04	6.40E-03	3.00E-04
YNR019W	acyl-CoA sterol acyltransferase	7.20E-01	3.00E-01	4.90E-01
YNR020C	similarity to hypothetical metalloproteinase S. pombe	8.30E-01	7.70E-01	1.00E+00
YNR021W	weak similarity to hypothetical protein S. pombe	8.30E-01	7.70E-01	1.00E+00
YNR022C	weak similarity to protein phosphatases	8.30E-01	8.60E-01	3.70E-01
YNR023W	component of SWI/SNF global transcription activator complex	8.30E-01	8.60E-01	3.70E-01
YNR024W	weak similarity to RPC31P	1.10E-01	1.00E+00	3.50E-01
YNR025C	questionable ORF	9.20E-01	1.00E+00	1.00E+00
YNR026C	GDP/GTP exchange factor for SAR1P	7.10E-01	7.50E-01	4.30E-01
YNR027W	similarity to human pyridoxal kinase	7.10E-01	7.50E-01	4.30E-01
YNR028W	Cyclophilin (peptidylprolyl cis-trans isomerase or PPIase)	7.20E-01	1.60E-02	8.30E-01
YNR029C	similarity to P.denitrificans cobW protein	1.00E+00	1.00E+00	5.40E-01
YNR030W	involved in cell wall biogenesis and architecture	1.00E+00	1.00E+00	5.40E-01
YNR031C	MAP kinase kinase kinase of the high osmolarity signal transduction pathway	2.20E-01	6.50E-01	3.50E-02
YNR032C-A	weak similarity to ubiquitin-like proteins	4.50E-01	9.20E-01	5.70E-01
YNR032W	phosphoprotein phosphatase PPG catalytic chain	2.20E-01	6.50E-01	3.50E-02
YNR033W	para-aminobenzoate synthase	4.50E-01	9.20E-01	5.70E-01
YNR034W	multicopy suppressor of LOS1-1	7.70E-01	2.60E-01	6.00E-01
YNR034W-A	hypothetical protein	2.60E-01	9.80E-01	7.30E-01
YNR035C	subunit of the ARP2/3 complex	2.10E-01	9.70E-01	5.50E-01
YNR036C	strong similarity to ribosomal protein S12	6.20E-01	4.70E-01	7.10E-01
YNR037C	strong similarity to Mycoplasma ribosomal protein S19	2.90E-01	9.00E-01	8.10E-01
YNR038W	RNA helicase required for 60S ribosomal subunit assembly	2.90E-01	9.00E-01	8.10E-01
YNR039C	weak similarity to Anopheles mitochondrial NADH dehydrogenase subunit 2	2.00E-01	9.40E-01	8.00E-01
YNR040W	hypothetical protein	2.00E-01	9.40E-01	8.00E-01
YNR041C	para-hydroxybenzoate--polyprenyltransferase	4.80E-01	7.00E-01	7.20E-01
YNR042W	hypothetical protein	1.60E-01	2.20E-01	1.00E+00
YNR043W	mevalonate pyrophosphate decarboxylase	4.80E-01	7.00E-01	7.20E-01
YNR044W	a-agglutinin anchor subunit	1.20E-01	7.20E-09	5.30E-01
YNR045W	"translational activator, mitochondrial"	7.50E-01	1.00E+00	7.50E-01
YNR046W	strong similarity to S.pombe hypothetical protein SPAC31A2.02	4.80E-01	3.60E-02	7.40E-01
YNR047W	similarity to ser/thr protein kinases	6.40E-01	9.00E-01	8.50E-01
YNR048W	strong similarity to YCR094w and YNL323w	7.80E-01	1.70E-01	3.50E-01
YNR049C	"secretion protein, multicopy suppressor of SEC1"	5.10E-01	1.40E-01	7.70E-01
YNR050C	"saccharopine dehydrogenase (NADP+, L-glutamate forming)"	4.20E-01	3.60E-01	8.60E-01
YNR051C	weak similarity to chicken nucleolin	7.70E-01	5.70E-01	4.90E-01
YNR052C	required for glucose derepression	6.80E-01	1.00E+00	7.70E-01
YNR053C	strong similarity to human breast tumor associated autoantigen	6.90E-01	2.50E-01	3.70E-01
YNR054C	similarity to C.elegans hypothetical protein CEESL47F	2.10E-01	5.30E-01	2.60E-01
YNR055C	member of major facilitator superfamily multidrug-resistance protein subfamily 1	5.60E-01	7.90E-01	1.00E+00
YNR056C	similarity to choline transport protein HNM1P	8.20E-01	6.80E-01	5.00E-01
YNR057C	putative dethiobiotin synthetase	8.20E-01	6.80E-01	5.00E-01
YNR058W	DAPA aminotransferase	8.20E-01	6.80E-01	5.00E-01
YNR059W	"similarity to to alpha-1,3-mannosyltransferase"	5.30E-01	8.60E-01	9.10E-01
YNR060W	"strong similarity to FRE2P, and similarity to FRE1P"	6.20E-01	4.40E-01	2.30E-01
YNR061C	weak similarity to hypothetical protein YDL218w	4.30E-01	2.30E-01	5.50E-01
YNR062C	weak similarity to H.influenzae L-lactate permease (lctP) homolog	3.60E-01	4.20E-01	4.70E-01
YNR063W	weak similarity to CYC1/CYP3 transcription activator	2.60E-01	5.30E-01	3.90E-01
YNR064C	similarity to R.capsulatus 1-chloroalkane halidohydrolase	8.10E-01	8.60E-01	4.40E-01
YNR065C	"strong similarity to YJL222w, YIL173w and PEP1P"	4.20E-01	5.40E-01	5.40E-01
YNR066C	strong similarity to PEP1P	4.20E-01	5.40E-01	5.40E-01
YNR067C	similarity to beta-glucan-elicitor receptor - Glycine max	9.40E-02	7.50E-01	8.50E-02
YNR068C	similarity to BUL1P	5.30E-01	8.20E-01	5.30E-01
YNR069C	similarity to central part of BUL1P	7.30E-01	7.60E-01	1.00E+00
YNR070W	strong similarity to SNQ2P	8.10E-01	8.90E-01	2.40E-01
YNR071C	strong similarity to UDP-glucose 4-epimerase GAL10P	2.00E-02	1.50E-01	1.00E+00
YNR072W	sugar transport protein	2.00E-02	1.50E-01	1.00E+00
YNR073C	"strong similarity to E.coli D-mannonate oxidoreductase, identical to YEL070w"	3.20E-01	1.00E+00	4.70E-01
YNR074C	weak similarity to B.subtilis nitrite reductase (nirB)	8.30E-01	7.10E-01	4.90E-01
YNR075W	strong similarity to subtelomeric encoded proteins	8.30E-01	7.10E-01	4.90E-01
YNR076W	strong similarity to members of the TIR1P/TIP1P family	8.90E-01	9.60E-01	8.30E-01
YOL001W	cyclin	5.90E-01	6.20E-01	4.10E-01
YOL002C	strong similarity to YDR492w and S.pombe hypothetical protein	5.90E-01	6.20E-01	4.10E-01
YOL003C	"similarity to C.elegans hypothetical protein, YDR126w, YNL326c and YLR246w"	9.60E-01	8.90E-01	9.60E-01
YOL004W	transcription regulatory protein	4.60E-01	1.00E+00	1.00E+00
YOL005C	"DNA-directed RNA polymerase II subunit, 13.6 kD"	4.60E-01	1.00E+00	1.00E+00
YOL006C	DNA topoisomerase I	7.00E-01	7.40E-02	4.50E-01
YOL007C	involved in chitin synthesis	1.00E+00	1.00E+00	7.80E-01
YOL008W	similarity to hypothetical protein S. pombe	8.10E-01	5.70E-01	7.90E-01
YOL009C	involved in mitochondrial inheritance	8.10E-01	5.70E-01	7.90E-01
YOL010W	similarity to human RNA 3'-terminal phosphate cyclase	8.00E-01	5.00E-01	7.30E-01
YOL011W	phospholipase B (lysophospholipase)	8.50E-01	4.90E-05	3.00E-01
YOL012C	evolutionarily conserved member of the histone H2A F/Z family of histone variants	8.50E-01	4.90E-05	3.00E-01
YOL013C	involved in degradation of HMG2P	6.00E-01	8.50E-01	4.90E-01
YOL013W-A	questionable ORF - identified by SAGE	4.20E-01	3.40E-01	8.50E-01
YOL014W	hypothetical protein	7.10E-01	7.00E-01	1.30E-01
YOL015W	weak similarity to YKR015c	1.50E-01	6.40E-01	6.30E-01
YOL016C	"Ca2+/calmodulin-dependent ser/thr protein kinase, type II"	1.50E-01	6.40E-01	6.30E-01
YOL017W	similarity to YFR013w	3.90E-01	4.30E-02	5.90E-01
YOL018C	member of the syntaxin family of t-SNAREs	3.90E-01	4.30E-02	5.90E-01
YOL019W	similarity to RIM9P and YFR012w	6.00E-01	8.60E-04	4.90E-01
YOL020W	high affinity tryptophan transport protein	8.20E-01	6.10E-02	5.10E-01
YOL021C	3'->5' exoribonuclease required for 3' end formation of 5.8S rRNA	8.20E-01	6.10E-02	5.10E-01
YOL022C	weak similarity to rat apoptosis protein RP-8	9.60E-01	9.60E-01	5.60E-01
YOL023W	"translation initiation factor 2, mitochondrial"	1.60E-01	4.90E-01	7.10E-01
YOL024W	hypothetical protein	2.00E-01	1.00E+00	1.00E+00
YOL025W	involved in determining longevity	4.20E-01	1.00E+00	6.20E-01
YOL026C	hypothetical protein	9.80E-01	8.60E-01	9.80E-01
YOL027C	similarity to YPR125w	8.80E-01	7.80E-01	8.50E-01
YOL028C	involved in transcription activation	3.30E-01	3.50E-01	5.10E-01
YOL029C	hypothetical protein	4.70E-01	1.00E+00	1.00E+00
YOL030W	strong similarity to glycoprotein GAS1P	3.70E-01	4.80E-01	8.50E-01
YOL031C	weak similarity to Y.lipolytica SLS1 protein precursor	3.70E-01	4.80E-01	8.50E-01
YOL032W	weak similarity to hypothetical protein S. pombe	7.20E-01	4.90E-01	4.40E-01
YOL033W	"glutamyl-tRNA synthetase, mitochondrial"	8.40E-01	1.00E+00	1.00E+00
YOL034W	similarity to S.pombe RAD18 and rpgL29 genes and other members of the SMC superfamily	6.70E-01	4.70E-01	4.20E-01
YOL035C	questionable ORF	9.60E-01	7.90E-01	6.90E-01
YOL036W	weak similarity to YMR317w	5.00E-01	2.90E-01	2.10E-01
YOL037C	questionable ORF	9.60E-01	7.90E-01	6.90E-01
YOL038W	20S proteasome subunit (alpha4)	7.60E-01	7.30E-01	5.20E-01
YOL039W	acidic ribosomal protein P2.beta	4.30E-01	6.30E-01	1.20E-01
YOL040C	40S small subunit ribosomal protein	4.30E-01	6.30E-01	1.20E-01
YOL041C	"weak similarity to M.sativa NUM1, hnRNP protein from C. tentans and D. melanogaster, murine/bovine poly(A) binding protein II, and NSR1P"	9.40E-01	5.50E-01	4.30E-01
YOL042W	similarity to CCR4 protein	1.00E+00	1.00E+00	1.00E+00
YOL043C	endonuclease III-like glycosylase 2	1.00E+00	1.00E+00	1.00E+00
YOL044W	required for peroxisome assembly - peroxin	1.00E+00	8.70E-01	7.50E-01
YOL045W	similarity to ser/thr protein kinase	2.60E-01	4.10E-01	3.40E-01
YOL046C	questionable ORF	1.00E+00	8.70E-01	7.50E-01
YOL047C	weak similarity to hypothetical proteins YAL018c and YOL048c	2.60E-01	4.10E-01	3.40E-01
YOL048C	similarity to YAL018c and YOL047c	2.50E-01	5.00E-01	5.70E-01
YOL049W	Glutathione synthetase	8.10E-02	5.20E-01	3.60E-01
YOL050C	questionable ORF	8.10E-02	5.20E-01	3.60E-01
